Rank,Players,Nation,Confederation,Caps,Debut,Latest
1,Cristiano Ronaldo,Portugal,UEFA,226.0,20 August 2003,13 November 2025
2,Bader Al-Mutawa,Kuwait,AFC,202.0,4 September 2003,14 June 2022
3,Lionel Messi,Argentina,CONMEBOL,196.0,17 August 2005,14 November 2025
4,Soh Chin Ann[a],Malaysia,AFC,195.0,19 November 1969,18 October 1984
5,Luka Modrić,Croatia,UEFA,193.0,1 March 2006,14 November 2025
6,Ahmed Hassan,Egypt,CAF,184.0,29 December 1995,22 May 2012
6,Hassan Al-Haydos,Qatar,AFC,184.0,9 August 2008,7 September 2025
8,Ahmed Mubarak,Oman,AFC,183.0,25 September 2003,2 December 2019
9,Andrés Guardado[b],Mexico,CONCACAF,180.0,14 December 2005,15 October 2024
9,Sergio Ramos,Spain,UEFA,180.0,26 March 2005,31 March 2021
11,Claudio Suárez[c],Mexico,CONCACAF,178.0,26 July 1992,1 June 2006
12,Hossam Hassan,Egypt,CAF,177.0,10 September 1985,7 February 2006
13,Gianluigi Buffon,Italy,UEFA,176.0,29 October 1997,23 March 2018
14,Maynor Figueroa[d],Honduras,CONCACAF,175.0,31 January 2003,2 February 2022
15,Mohamed Al-Deayea,Saudi Arabia,AFC,173.0,9 April 1993,11 May 2006
16,Amer Shafi,Jordan,AFC,171.0,17 August 2002,1 February 2021
17,Iván Hurtado,Ecuador,CONMEBOL,168.0,24 May 1992,14 October 2014
17,Alexis Sánchez,Chile,CONMEBOL,168.0,27 April 2006,10 June 2025
19,Iker Casillas,Spain,UEFA,167.0,3 June 2000,1 June 2016
20,Vitālijs Astafjevs[e],Latvia,UEFA,166.0,26 August 1992,17 November 2010
21,Cobi Jones,United States,CONCACAF,164.0,3 September 1992,9 October 2004
22,Sayed Mohammed Jaffer,Bahrain,AFC,163.0,5 July 2004,28 December 2024
22,Mohammed Al-Khilaiwi,Saudi Arabia,AFC,163.0,20 October 1992,5 October 2001
22,Shukor Salleh[f],Malaysia,AFC,163.0,15 November 1970,12 September 1981
25,Diego Godín,Uruguay,CONMEBOL,161.0,26 October 2005,28 November 2022
25,Mohamed Husain,Bahrain,AFC,161.0,6 March 1997,15 January 2015
25,Salman Isa,Bahrain,AFC,161.0,20 March 2000,29 November 2012
25,Robert Lewandowski,Poland,UEFA,161.0,10 September 2008,12 October 2025
25,Gary Medel,Chile,CONMEBOL,161.0,18 April 2007,16 November 2023
25,Adnan Al-Talyani,United Arab Emirates,AFC,161.0,10 March 1984,17 December 1997
31,Celso Borges [g],Costa Rica,CONCACAF,160.0,21 June 2008,13 November 2025
32,Essam El-Hadary,Egypt,CAF,159.0,25 March 1996,25 June 2018
32,Konstantin Vassiljev,Estonia,UEFA,159.0,31 May 2006,9 September 2025
34,Sunil Chhetri,India,AFC,157.0,12 June 2005,14 October 2025
34,Jan Vertonghen,Belgium,UEFA,157.0,2 June 2007,1 July 2024
36,Sami Al-Jaber,Saudi Arabia,AFC,156.0,11 September 1992,23 June 2006
36,Martin Reim[h],Estonia,UEFA,156.0,3 June 1992,6 June 2009
38,Landon Donovan[i],United States,CONCACAF,155.0,25 October 2000,10 October 2014
39,Yasuhito Endō,Japan,AFC,152.0,20 November 2002,23 January 2015
40,Fawzi Bashir,Oman,AFC,151.0,18 February 2001,11 January 2013
40,Guillermo Ochoa[j],Mexico,CONCACAF,151.0,14 December 2005,15 November 2024
